시도군구,인구수,shortName,x,y,면적,광역시도,행정구역,시도,교육지원청,count
강원도 강릉시,202520.0,강릉,11.0,4.0,1040.07,강원도,강릉시,강원도,강릉시,38.0
강원도 고성군,25589.0,고성(강원),9.0,0.0,664.19,강원도,고성군,강원도,고성군,15.0
강원도 동해시,86747.0,동해,11.0,5.0,180.01,강원도,동해시,강원도,동해시,14.0
강원도 삼척시,63986.0,삼척,11.0,8.0,1185.8,강원도,삼척시,강원도,삼척시,20.0
강원도 속초시,76733.0,속초,9.0,1.0,105.25,강원도,속초시,강원도,속초시,12.0
강원도 양구군,20809.0,양구,8.0,0.0,700.8,강원도,양구군,강원도,양구군,10.0
강원도 양양군,24551.0,양양,10.0,2.0,628.68,강원도,양양군,강원도,양양군,17.0
강원도 영월군,34966.0,영월,10.0,8.0,1127.36,강원도,영월군,강원도,영월군,16.0
강원도 원주시,313851.0,원주,10.0,7.0,867.3,강원도,원주시,강원도,원주시,50.0
강원도 인제군,29260.0,인제,9.0,2.0,1646.08,강원도,인제군,강원도,인제군,17.0
강원도 정선군,34242.0,정선,11.0,6.0,1220.67,강원도,정선군,강원도,정선군,19.0
강원도 철원군,43189.0,철원,6.0,0.0,899.82,강원도,철원군,강원도,철원군,16.0
강원도 춘천시,264144.0,춘천,10.0,3.0,1116.35,강원도,춘천시,강원도,춘천시,42.0
강원도 태백시,44175.0,태백,11.0,7.0,303.57,강원도,태백시,강원도,태백시,12.0
강원도 평창군,38439.0,평창,10.0,6.0,1463.65,강원도,평창군,강원도,평창군,18.0
강원도 홍천군,62957.0,홍천,10.0,4.0,1817.94,강원도,홍천군,강원도,홍천군,29.0
강원도 화천군,23612.0,화천,7.0,0.0,909.45,강원도,화천군,강원도,화천군,14.0
강원도 횡성군,39668.0,횡성,10.0,5.0,997.82,강원도,횡성군,강원도,횡성군,17.0
경기도 가평군,53497.0,가평,9.0,3.0,843.04,경기도,가평군,경기도,가평군,16.0
경기도 고양시,955384.0,고양,4.0,2.0,267.33,경기도,고양시,경기도,고양시,88.0
경기도 과천시,63227.0,과천,7.0,7.0,35.813,경기도,과천시,경기도,과천시,4.0
경기도 광명시,327111.0,광명,3.0,3.0,38.5,경기도,광명시,경기도,광명시,25.0
경기도 광주시,290210.0,광주,8.0,7.0,431.84,경기도,광주시,경기도,광주시,29.0
경기도 구리시,175676.0,구리,9.0,4.0,33.3,경기도,구리시,경기도,구리시,16.0
경기도 군포시,273302.0,군포,5.0,8.0,36.35,경기도,군포시,경기도,군포시,27.0
경기도 김포시,326523.0,김포,2.0,3.0,276.64,경기도,김포시,경기도,김포시,47.0
경기도 남양주시,610300.0,남양주,8.0,3.0,458.44,경기도,남양주시,경기도,남양주시,66.0
